
--- RSI|VP-buy m1% (346 entries, 5457%) ---
  SELL | 2021-05-27 04:00 | $    37,624 | Cap: $   123,599 | RSI<30
   BUY | 2021-06-01 01:00 | $    37,798 | Cap: $   123,599 | RSI>75
  SELL | 2021-06-04 08:00 | $    36,607 | Cap: $   119,703 | RSI<30
   BUY | 2021-06-09 12:00 | $    34,972 | Cap: $   119,703 | RSI>75
  SELL | 2021-06-12 08:00 | $    35,289 | Cap: $   120,787 | RSI<30
   BUY | 2021-06-13 21:00 | $    39,250 | Cap: $   120,787 | RSI>75
  SELL | 2021-06-16 15:00 | $    38,844 | Cap: $   119,537 | RSI<30
   BUY | 2021-06-16 16:00 | $    38,776 | Cap: $   119,537 | VP>VAH+1%(7d)
  SELL | 2021-06-18 06:00 | $    37,607 | Cap: $   115,933 | RSI<30
   BUY | 2021-06-23 11:00 | $    34,218 | Cap: $   115,933 | RSI>75
  SELL | 2021-06-25 14:00 | $    32,988 | Cap: $   111,765 | RSI<30
   BUY | 2021-06-27 23:00 | $    34,406 | Cap: $   111,765 | VP>VAH+1%(7d)
  SELL | 2021-06-30 11:00 | $    34,740 | Cap: $   112,849 | RSI<30
   BUY | 2021-07-03 18:00 | $    34,764 | Cap: $   112,849 | RSI>75
  SELL | 2021-07-05 05:00 | $    34,200 | Cap: $   111,018 | RSI<30
   BUY | 2021-07-09 22:00 | $    33,871 | Cap: $   111,018 | RSI>75
  SELL | 2021-07-12 19:00 | $    33,010 | Cap: $   108,199 | RSI<30
   BUY | 2021-07-21 11:00 | $    31,385 | Cap: $   108,199 | RSI>75
  SELL | 2021-08-02 | $    39,850 | Cap: $   137,382 | RSI<30
   BUY | 2021-08-05 | $    39,723 | Cap: $   137,382 | RSI>75
  SELL | 2021-08-05 13:00 | $    38,038 | Cap: $   131,553 | RSI<30
   BUY | 2021-08-05 18:00 | $    40,707 | Cap: $   131,553 | VP>VAH+1%(7d)
  SELL | 2021-08-12 12:00 | $    44,753 | Cap: $   144,627 | RSI<30
   BUY | 2021-08-13 16:00 | $    46,357 | Cap: $   144,627 | RSI>75
  SELL | 2021-08-17 | $    45,901 | Cap: $   143,205 | RSI<30
   BUY | 2021-08-20 01:00 | $    47,140 | Cap: $   143,205 | RSI>75
  SELL | 2021-08-24 02:00 | $    48,957 | Cap: $   148,723 | RSI<30
   BUY | 2021-08-27 21:00 | $    48,895 | Cap: $   148,723 | RSI>75
  SELL | 2021-09-07 15:00 | $    47,300 | Cap: $   143,871 | RSI<30
   BUY | 2021-09-14 12:00 | $    45,974 | Cap: $   143,871 | RSI>75
  SELL | 2021-09-20 04:00 | $    45,543 | Cap: $   142,522 | RSI<30
   BUY | 2021-09-22 20:00 | $    43,385 | Cap: $   142,522 | RSI>75
